name,model_type,model_id,revision,class_weight,C,negative_threshold,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_accuracy_mean,cv_accuracy_std,oof_macro_f1,oof_balanced_accuracy,oof_accuracy,negative_precision,negative_recall,negative_f1,per_class_json,confusion_matrix_json,fit_seconds,dutch_rows,dutch_macro_f1,dutch_accuracy,dutch_negative_recall,english_rows,english_macro_f1,english_accuracy,english_negative_recall,cache_hit,cache_path,cache_sha256,encode_seconds,embedding_dimension,max_sequence_length
official_tfidf_baseline,tfidf_word_char_logreg,official_combined_balanced_ratings,submission-v1,balanced,1.0,argmax,0.6472435121804612,0.026896847313233052,0.6220104714742598,0.029208190382907572,0.6698809620817036,0.010441222922883816,0.6484564362831063,0.6220114569822741,0.6698801459093278,0.7333333333333333,0.5041666666666667,0.5975308641975309,"{""Average"": {""f1-score"": 0.6731866340668297, ""precision"": 0.6583421891604676, ""recall"": 0.688715953307393, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.5975308641975309, ""precision"": 0.7333333333333333, ""recall"": 0.5041666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.6746518105849583, ""precision"": 0.6761585706309324, ""recall"": 0.6731517509727627, ""support"": 1799.0}}","[[1211, 569, 19], [535, 1239, 25], [45, 74, 121]]",101.52165571600199,3450,0.6524100900134808,0.6715942028985508,0.521551724137931,388,0.28278167522011394,0.654639175257732,0.0,,,,,,
multilingual_minilm__c0.25__balanced__threshold_argmax,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,balanced,0.25,argmax,0.48772908261898085,0.011991805574443869,0.5880699989683277,0.024549048461562948,0.5341352944372013,0.007966658900612673,0.48784158823695795,0.5880635847075536,0.5341323606044815,0.2165206508135169,0.7208333333333333,0.33301251203079885,"{""Average"": {""f1-score"": 0.5447852760736196, ""precision"": 0.6078028747433265, ""recall"": 0.4936075597554197, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.33301251203079885, ""precision"": 0.2165206508135169, ""recall"": 0.7208333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5857269766064555, ""precision"": 0.6267427122940431, ""recall"": 0.5497498610339078, ""support"": 1799.0}}","[[989, 534, 276], [561, 888, 350], [28, 39, 173]]",0.4388182011898607,3450,0.4862924614487933,0.5289855072463768,0.7241379310344828,388,0.4548674692573993,0.5798969072164949,0.625,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__balanced__threshold_0.25,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,balanced,0.25,0.25,0.4190025348548648,0.005827305843750281,0.5717293407613742,0.01501929736214757,0.45023563124728383,0.0065407363250567655,0.4191141424336468,0.5717304366623434,0.45023449713392394,0.1484375,0.8708333333333333,0.2536407766990291,"{""Average"": {""f1-score"": 0.45565217391304347, ""precision"": 0.6087360594795539, ""recall"": 0.3640911617565314, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.2536407766990291, ""precision"": 0.1484375, ""recall"": 0.8708333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5480494766888677, ""precision"": 0.638109305760709, ""recall"": 0.4802668148971651, ""support"": 1799.0}}","[[864, 407, 528], [473, 655, 671], [17, 14, 209]]",0.4388182011898607,3450,0.4194473978960458,0.44869565217391305,0.875,388,0.3849035671616317,0.4639175257731959,0.75,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__balanced__threshold_0.3,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,balanced,0.25,0.3,0.4515947274482711,0.007386178253745142,0.5831378314247395,0.019887962965718955,0.4916625923511517,0.006531041088028324,0.4517886244465699,0.5831372367364586,0.49166232412714955,0.17383512544802868,0.8083333333333333,0.2861356932153392,"{""Average"": {""f1-score"": 0.4977139124755062, ""precision"": 0.6033254156769596, ""recall"": 0.4235686492495831, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.2861356932153392, ""precision"": 0.17383512544802868, ""recall"": 0.8083333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5715162676488643, ""precision"": 0.6381082933516107, ""recall"": 0.5175097276264592, ""support"": 1799.0}}","[[931, 474, 394], [509, 762, 528], [19, 27, 194]]",0.4388182011898607,3450,0.4508091365907678,0.48782608695652174,0.8103448275862069,388,0.4232315264718875,0.5257731958762887,0.75,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__balanced__threshold_0.35,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,balanced,0.25,0.35,0.4795926175253175,0.011743041476582488,0.5886198803260084,0.025086143407406673,0.5247552015428074,0.009734356924900017,0.47969704992745665,0.5886148168735718,0.5247524752475248,0.2057471264367816,0.7458333333333333,0.3225225225225225,"{""Average"": {""f1-score"": 0.5313768342179207, ""precision"": 0.6061253561253561, ""recall"": 0.47304057809894384, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.3225225225225225, ""precision"": 0.2057471264367816, ""recall"": 0.7458333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5851917930419268, ""precision"": 0.629156010230179, ""recall"": 0.5469705391884381, ""support"": 1799.0}}","[[984, 519, 296], [553, 851, 395], [27, 34, 179]]",0.4388182011898607,3450,0.4784985849532439,0.52,0.75,388,0.44339902010678456,0.5670103092783505,0.625,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__balanced__threshold_0.4,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,balanced,0.25,0.4,0.5045308758310482,0.009191990561562034,0.5903899721448468,0.019122135616643672,0.5492462516297262,0.007619304039671522,0.5048250225202491,0.5903850904823668,0.5492443981240229,0.25113464447806355,0.6916666666666667,0.36847946725860153,"{""Average"": {""f1-score"": 0.5537908300869044, ""precision"": 0.6007802340702211, ""recall"": 0.5136186770428015, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.36847946725860153, ""precision"": 0.25113464447806355, ""recall"": 0.6916666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5922047702152414, ""precision"": 0.6211104331909701, ""recall"": 0.565869927737632, ""support"": 1799.0}}","[[1018, 569, 212], [592, 924, 283], [29, 45, 166]]",0.4388182011898607,3450,0.5035248026171825,0.5446376811594202,0.6982758620689655,388,0.4613526570048309,0.5902061855670103,0.5,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__negative_7__threshold_argmax,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,negative_7,0.25,argmax,0.4944836033178731,0.010799428196796818,0.5843693902816465,0.02200083453482135,0.5424727020860496,0.006677340726866185,0.49468812776389864,0.584363998517695,0.5424700364773319,0.22727272727272727,0.6875,0.3416149068322981,"{""Average"": {""f1-score"": 0.554318386999699, ""precision"": 0.6043307086614174, ""recall"": 0.5119510839355197, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.3416149068322981, ""precision"": 0.22727272727272727, ""recall"": 0.6875, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5881310894596988, ""precision"": 0.6272040302267002, ""recall"": 0.5536409116175653, ""support"": 1799.0}}","[[996, 557, 246], [563, 921, 315], [29, 46, 165]]",0.46867943182587624,3450,0.49469050728993197,0.5385507246376812,0.6939655172413793,388,0.44290705800139757,0.5773195876288659,0.5,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__negative_7__threshold_0.25,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,negative_7,0.25,0.25,0.43257618045914265,0.00319633285145094,0.5757164964407304,0.006558054989377749,0.46769237559756627,0.004364942679757933,0.43265447482313196,0.5757195355444383,0.46769150599270454,0.1573208722741433,0.8416666666666667,0.2650918635170604,"{""Average"": {""f1-score"": 0.4749073762209498, ""precision"": 0.6025641025641025, ""recall"": 0.39188438021122846, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.2650918635170604, ""precision"": 0.1573208722741433, ""recall"": 0.8416666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5579641847313855, ""precision"": 0.6416184971098265, ""recall"": 0.4936075597554197, ""support"": 1799.0}}","[[888, 443, 468], [480, 705, 614], [16, 22, 202]]",0.46867943182587624,3450,0.43407303218750753,0.46695652173913044,0.8448275862068966,388,0.3904492637794723,0.4742268041237113,0.75,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__negative_7__threshold_0.3,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,negative_7,0.25,0.3,0.4644773542117555,0.009942283271177297,0.5887006086866811,0.02478181350540698,0.5062561114732724,0.007120123099282738,0.46458115928580285,0.5886989685627818,0.5062532569046378,0.18774703557312253,0.7916666666666666,0.3035143769968051,"{""Average"": {""f1-score"": 0.5147947820553611, ""precision"": 0.6019345238095238, ""recall"": 0.44969427459699834, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.3035143769968051, ""precision"": 0.18774703557312253, ""recall"": 0.7916666666666666, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.5754343188052423, ""precision"": 0.6369770580296896, ""recall"": 0.5247359644246804, ""support"": 1799.0}}","[[944, 504, 351], [519, 809, 471], [19, 31, 190]]",0.46867943182587624,3450,0.4639670148831654,0.5026086956521739,0.7931034482758621,388,0.42979195884394655,0.538659793814433,0.75,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
multilingual_minilm__c0.25__negative_7__threshold_0.35,frozen_sentence_embedding_logreg,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,e8f8c211226b894fcb81acc59f3b34ba3efd5f42,negative_7,0.25,0.35,0.4855424227506765,0.011116777799772229,0.5874192716393274,0.022984525092359206,0.5315307882442417,0.007862576974125098,0.48564652536236014,0.587414304243098,0.5315268368942158,0.21428571428571427,0.725,0.33079847908745247,"{""Average"": {""f1-score"": 0.5417177914110429, ""precision"": 0.6043805612594113, ""recall"": 0.49082823790994995, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.33079847908745247, ""precision"": 0.21428571428571427, ""recall"": 0.725, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.584423305588585, ""precision"": 0.6281150159744409, ""recall"": 0.546414674819344, ""support"": 1799.0}}","[[983, 538, 278], [556, 883, 360], [26, 40, 174]]",0.46867943182587624,3450,0.4846691289438692,0.5269565217391304,0.728448275862069,388,0.44630324213176337,0.5721649484536082,0.625,False,.cache/embeddings/multilingual_minilm-85541c62801a5963.npz,4d29b0f57f5529de486ad2d586ff8f043370dba1b0852caad8b5179e2bc2009c,223.1857763179578,384.0,128.0
