name,model_type,model_id,revision,class_weight,C,negative_threshold,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_accuracy_mean,cv_accuracy_std,oof_macro_f1,oof_balanced_accuracy,oof_accuracy,negative_precision,negative_recall,negative_f1,per_class_json,confusion_matrix_json,fit_seconds,dutch_rows,dutch_macro_f1,dutch_accuracy,dutch_negative_recall,english_rows,english_macro_f1,english_accuracy,english_negative_recall,cache_hit,cache_path,cache_sha256,encode_seconds,embedding_dimension,max_sequence_length,encoding_device,encoding_dtype
official_tfidf_baseline,tfidf_word_char_logreg,official_combined_balanced_ratings,submission-v1,balanced,1.0,argmax,0.6472435121804612,0.026896847313233052,0.6220104714742598,0.029208190382907572,0.6698809620817036,0.010441222922883816,0.6484564362831063,0.6220114569822741,0.6698801459093278,0.7333333333333333,0.5041666666666667,0.5975308641975309,"{""Average"": {""f1-score"": 0.6731866340668297, ""precision"": 0.6583421891604676, ""recall"": 0.688715953307393, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.5975308641975309, ""precision"": 0.7333333333333333, ""recall"": 0.5041666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.6746518105849583, ""precision"": 0.6761585706309324, ""recall"": 0.6731517509727627, ""support"": 1799.0}}","[[1211, 569, 19], [535, 1239, 25], [45, 74, 121]]",82.047281387,3450,0.6524100900134808,0.6715942028985508,0.521551724137931,388,0.28278167522011394,0.654639175257732,0.0,,,,,,,,
jina_v3_classification__c0.5__balanced__threshold_argmax,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,argmax,0.701379474331054,0.015190439256440775,0.7641416486124007,0.01774814077539257,0.6988035093437635,0.01122713793692678,0.7013200700980478,0.7641421159903651,0.6988014590932777,0.5736434108527132,0.925,0.7081339712918661,"{""Average"": {""f1-score"": 0.6837606837606838, ""precision"": 0.701344243132671, ""recall"": 0.6670372429127293, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7081339712918661, ""precision"": 0.5736434108527132, ""recall"": 0.925, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7120655552415937, ""precision"": 0.7241379310344828, ""recall"": 0.7003891050583657, ""support"": 1799.0}}","[[1260, 496, 43], [477, 1200, 122], [3, 15, 222]]",1.3511130769999227,3450,0.7047213438929677,0.7,0.9224137931034483,388,0.620935960591133,0.6881443298969072,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__balanced__threshold_0.25,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,0.25,0.6328046778617331,0.00527556868048901,0.7437578665015991,0.006343598655798641,0.6599803753802694,0.002819280570175518,0.6326679048729074,0.7437557902538448,0.6599791558103179,0.3917525773195876,0.95,0.5547445255474452,"{""Average"": {""f1-score"": 0.635872825434913, ""precision"": 0.6905537459283387, ""recall"": 0.5892162312395776, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.5547445255474452, ""precision"": 0.3917525773195876, ""recall"": 0.95, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7073863636363636, ""precision"": 0.7234166182452063, ""recall"": 0.6920511395219566, ""support"": 1799.0}}","[[1245, 465, 89], [474, 1060, 265], [2, 10, 228]]",1.3511130769999227,3450,0.6355505845913879,0.6605797101449276,0.9482758620689655,388,0.55864044168392,0.654639175257732,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__balanced__threshold_0.3,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,0.3,0.6606732709096255,0.008337247999443005,0.754595326524296,0.010945704925728545,0.6769159468709256,0.007284436370092161,0.6606055277320703,0.7545959174850226,0.6769150599270454,0.4567404426559356,0.9458333333333333,0.6160108548168249,"{""Average"": {""f1-score"": 0.6553241419771194, ""precision"": 0.6937888198757765, ""recall"": 0.6209005002779322, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.6160108548168249, ""precision"": 0.4567404426559356, ""recall"": 0.9458333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7104815864022663, ""precision"": 0.7244367417677643, ""recall"": 0.6970539188438021, ""support"": 1799.0}}","[[1254, 483, 62], [474, 1117, 208], [3, 10, 227]]",1.3511130769999227,3450,0.6637764464027841,0.6776811594202898,0.9439655172413793,388,0.5817042606516291,0.6701030927835051,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__balanced__threshold_0.35,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,0.35,0.6796214027310065,0.010191437678708526,0.7575629320127927,0.014200622182607437,0.6878595583441982,0.009080759169624733,0.6796369137015753,0.7575636155889075,0.6878582595101616,0.5091324200913242,0.9291666666666667,0.6578171091445427,"{""Average"": {""f1-score"": 0.6695551704217215, ""precision"": 0.6969332531569453, ""recall"": 0.6442468037798778, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.6578171091445427, ""precision"": 0.5091324200913242, ""recall"": 0.9291666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7115384615384616, ""precision"": 0.724237190558434, ""recall"": 0.6992773763201778, ""support"": 1799.0}}","[[1258, 490, 51], [476, 1159, 164], [3, 14, 223]]",1.3511130769999227,3450,0.6833736541224841,0.6889855072463769,0.9267241379310345,388,0.5952957158839512,0.6778350515463918,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__balanced__threshold_0.4,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,0.4,0.6950426953984132,0.013874444408190726,0.7617332095326524,0.01384515477865022,0.6954160555193395,0.010865448843143052,0.6948801620888916,0.761733370390958,0.6954142782699323,0.555,0.925,0.69375,"{""Average"": {""f1-score"": 0.6784998568565703, ""precision"": 0.6995277449822904, ""recall"": 0.6586992773763202, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.69375, ""precision"": 0.555, ""recall"": 0.925, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7123906294101044, ""precision"": 0.7236238532110092, ""recall"": 0.7015008337965536, ""support"": 1799.0}}","[[1262, 495, 42], [478, 1185, 136], [4, 14, 222]]",1.3511130769999227,3450,0.7001275530754266,0.697391304347826,0.9224137931034483,388,0.5952957158839512,0.6778350515463918,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__negative_7__threshold_argmax,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,negative_7,0.5,argmax,0.7071186215386168,0.011893330938955884,0.7640536985453421,0.012176086006756631,0.7037524445893091,0.008959100087313139,0.7070267238272964,0.7640517880303873,0.7037519541427827,0.5887096774193549,0.9125,0.7156862745098039,"{""Average"": {""f1-score"": 0.690300623936472, ""precision"": 0.7046902142443544, ""recall"": 0.6764869371873263, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7156862745098039, ""precision"": 0.5887096774193549, ""recall"": 0.9125, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7150932730356133, ""precision"": 0.7274295572167913, ""recall"": 0.7031684269038355, ""support"": 1799.0}}","[[1265, 493, 41], [470, 1217, 112], [4, 17, 219]]",1.9354082790000575,3450,0.7090789164904105,0.703768115942029,0.9094827586206896,388,0.6392756680731364,0.7036082474226805,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__negative_7__threshold_0.25,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,negative_7,0.5,0.25,0.65023960444931,0.00482806736132237,0.7526513979160219,0.008081659377776816,0.6724858078009561,0.005042704282621429,0.6501526852087515,0.7526496201593478,0.6724856696195936,0.4253731343283582,0.95,0.5876288659793815,"{""Average"": {""f1-score"": 0.6506950606329488, ""precision"": 0.695322376738306, ""recall"": 0.6114508060033352, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.5876288659793815, ""precision"": 0.4253731343283582, ""recall"": 0.95, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7121341290139244, ""precision"": 0.7284883720930233, ""recall"": 0.6964980544747081, ""support"": 1799.0}}","[[1253, 472, 74], [465, 1100, 234], [2, 10, 228]]",1.9354082790000575,3450,0.6522593507295941,0.6721739130434783,0.9482758620689655,388,0.5791847041847041,0.6752577319587629,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__negative_7__threshold_0.3,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,negative_7,0.5,0.3,0.6755904008003799,0.012021645852225187,0.7611755906324151,0.013488530868148413,0.6878585397653194,0.00955413543461062,0.6754766404110691,0.7611744178864801,0.6878582595101616,0.4870689655172414,0.9416666666666667,0.6420454545454546,"{""Average"": {""f1-score"": 0.6695727986050567, ""precision"": 0.7015834348355664, ""recall"": 0.6403557531962201, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.6420454545454546, ""precision"": 0.4870689655172414, ""recall"": 0.9416666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7148116680826961, ""precision"": 0.7286374133949192, ""recall"": 0.7015008337965536, ""support"": 1799.0}}","[[1262, 479, 58], [467, 1152, 180], [3, 11, 226]]",1.9354082790000575,3450,0.6778935623142391,0.6878260869565217,0.9396551724137931,388,0.6008714817601327,0.6881443298969072,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
jina_v3_classification__c0.5__negative_7__threshold_0.35,frozen_sentence_embedding_logreg,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,negative_7,0.5,0.35,0.6877567871169756,0.01012980531127236,0.7608083152790674,0.011856073840577337,0.6941115955019557,0.008617711576651775,0.6876893284244661,0.7608069297758014,0.6941115164147994,0.5260663507109005,0.925,0.6706948640483383,"{""Average"": {""f1-score"": 0.6779661016949152, ""precision"": 0.7015457788347206, ""recall"": 0.6559199555308505, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.6706948640483383, ""precision"": 0.5260663507109005, ""recall"": 0.925, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7144070195301444, ""precision"": 0.7277970011534025, ""recall"": 0.7015008337965536, ""support"": 1799.0}}","[[1262, 488, 49], [468, 1180, 151], [4, 14, 222]]",1.9354082790000575,3450,0.6914052951434991,0.6947826086956522,0.9224137931034483,388,0.6008714817601327,0.6881443298969072,1.0,False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.90541834399994,512.0,1024.0,cuda,float16
