actual,predicted,detected_language,excerpt
Average,Positive,dutch,"Het is een vreemd, maar op de een of andere manier indrukwekkend verhaal over liefde. Persoonlijk kom ik in het echte leven nog nooit zo'n twist-off-verhaal teg"
Positive,Average,dutch,Met enige nieuwsgierigheid heb ik deze film bekeken. Ik wilde zien of 1) Paul Muni Chinees kon spelen en 2) Luise Rainer haar Oscar verdiende. Ik verliet de fil
Average,Positive,dutch,"Heb deze film net op dvd gezien en vond het acteerwerk erg goed, maar het algehele verhaal liet veel te wensen over. Deze film heeft dezelfde textuur en uitstra"
Positive,Average,dutch,"Henry Fool van Hal Hartley was een onafhankelijk filmmeesterwerk en zeker zijn beste werk. Het heeft een enorme karakterdiepte, subtiele, gecompliceerde dialoge"
Average,Positive,dutch,Ik heb deze film onlangs gezien in mijn International Business-klas. Ik had niets anders verwacht dan weer een saaie documentaire (om niet te zeggen dat ik niet
Positive,Average,dutch,Dit is een betere bewerking van het boek dan die met Paltrow (hoewel ik die ook leuk vond). Het is niet zozeer dat Beckinsale beter is – ze zijn allebei erg goe
Positive,Average,dutch,Ik vond deze film erg vermakelijk. Ik heb deze film met mijn vrouw bekeken VOORDAT ik mijn eerste kind kreeg. Daarom zag ik het niet als gewoon familie-entertai
Positive,Average,english,"One shot, one kill, no exceptions. A must see if you are into marines or snipers. two big thumbs up! Great overall storyline, great camera work, good drama, act"
Average,Positive,dutch,"De mannen kunnen genieten van Lollo, als ze dat willen (of haar lollos – ze heeft haar naam gegeven aan jargontermen voor borsten in het Frans), maar de dames h"
Average,Positive,dutch,"Als Jack Nicholsons regiedebuut Drive, laat He Said op zijn minst zien dat hij een begaafd acteursregisseur is. Zelfs als het verhaal de weg lijkt te verliezen "
Positive,Average,dutch,De Duitse middeleeuwse saga van Fritz Lang gaat verder in Die Nibelungen: Kriemhilds Rache (1924). Kriemhild (Margarete Schoen) wil haar vermoorde echtgenoot Si
Average,Positive,dutch,Er zijn weinig films of films die ik door de jaren heen als favorieten beschouw. De Evangelieweg was er één van. Ik heb dit als jonge tiener gezien en zou het g
Average,Positive,dutch,Deze film is perfect voor gezinnen om samen te kijken. Het is een geweldige film en verdient meer krediet. De speciale effecten zijn adembenemend en spectaculai
Positive,Average,dutch,Het is moeilijk voor mij om alles wat Mitzi Kapture doet te bekritiseren. Ze straalt gewoon schoonheid en gratie uit op het scherm en is een fenomenale actrice.
Negative,Average,dutch,"Deze film was vanuit elke hoek extreem slecht bedacht, behalve technologisch. Ik stond te kijken hoe iedereen de theaterzaal uit waggelde, hun gezichten vertrok"
Average,Positive,dutch,"Dit was een heel goede film. Ik ging er niet met hele hoge verwachtingen in en was aangenaam verrast door het acteerwerk, het script en de decors. Miranda Richa"
Positive,Average,dutch,"De vredestichter afslachten? Blijkbaar. Na het gewelddadige begin waarin Spike, Tom en Jerry allemaal naar elkaar zwaaien, stopt Butch en wil weten waarom. Dat "
Positive,Average,english,"Care Bears Movie 2: A New Generation isn't at all a bad movie. In fact, I like it very much. Yes I admit the dialogue is corny and the story is a bit poorly tol"
Negative,Positive,dutch,"Ik voel me vaak Scrooge, die films afkeurt waar anderen enthousiast over zijn - of ik schrijf de recensie om ongerechtvaardigde raves in evenwicht te brengen. I"
Positive,Average,dutch,"De meer dan levensgrote figuren van Wyatt Earp en Bat Masterson, en de geesten van George Armstrong Custer en Sitting Bull, doemen op boven de enorm vermakelijk"
Average,Positive,dutch,"Sayonara, uitgebracht in december 1957, verdiende acht Oscar-nominaties en zou vier overwinningen behalen. Red Buttons won de Oscar voor Beste Mannelijke Bijrol"
Positive,Average,dutch,"Een zwerver die op zoek is naar een baan wordt in een klein stadje in Wyoming aangezien voor een huurmoordenaar, wat tot allerlei complicaties leidt. Cage is pe"
Average,Positive,dutch,De film concentreert zich grotendeels op de pestende Robert Taylor als meedogenloze buffeljager en de mensen die hem moeten verdragen. Het speelt zich af te mid
Average,Positive,dutch,Als grote honkbalfan kijk ik naar deze film hoe realistisch hij lijkt. Dennis Quaid had alle juiste bewegingen en houdingen van een Major League-werper. Het is
Positive,Average,dutch,Een team archeologen ontdekt een echte schat: de kroon van de koningin van Sheeba. Vanuit Egypte zal de kroon per stoomschip naar San Francisco worden overgebra
Positive,Average,dutch,"Er zitten een paar spoilers in deze reactie!!<br /><br />In tegenstelling tot de reacties die ik zojuist heb gelezen door nativetex4u en een paar anderen, vond "
Positive,Average,english,"At first sight, Who's Singing Over There just seems to be an absurd and excellent comedyÂ… with only a kind of unusual, quiet and slow motion : what a mistake !"
